id,text,department,urgency,language,channel
T0001,Order 24592 arrived in good condition. Thank you. Raised via app chat.,Product / Order / Delivery,P4,en,email
T0002,A user threatened me in chat and shared my address. Unsafe. ??,Abuse / Safety / Fraud,P1,en,email
T0003,"Last bill me extra ₹499 kyun add kiya, samjhao.",Billing & Payments,P3,hinglish,whatsapp
T0004,"Last bill me extra ₹2,050 kyun add kiya, samjhao. kripya jaldi reply do.",Billing & Payments,P3,hinglish,email
T0005,"Mera order nahi aaya, tracking 4 din se same hai. customer id C65392.",Product / Order / Delivery,P2,hinglish,web
T0006,"Thanks, the refund for invoice 22156 arrived. Just confirming. Need update today.",Billing & Payments,P4,en,web
T0007,Order 44671 is 4 days late. Tracking has not moved.,Product / Order / Delivery,P2,en,whatsapp
T0008,How do I download GST invoice for order 82357? waiting since morning.,Billing & Payments,P3,en,app
T0009,"UPI payment failed yet ₹1,299 left my bank. Transaction id TXN96673. Raised via app chat.",Billing & Payments,P2,en,email
T0010,Could you add Hindi language to the help centre articles? Raised via app chat.,Feedback / General,P3,en,web
T0011,"पिछले बिल में अतिरिक्त शुल्क ₹2,050 क्यों लगाया गया? कृपया जल्दी जवाब दें।",Billing & Payments,P3,hi,app
T0012,Order 93227 is 4 days late. Tracking has not moved. Customer id C93227.,Product / Order / Delivery,P2,en,whatsapp
T0013,I did not request this password reset. Possible account takeover. waiting since morning.,Account / KYC / Login,P1,en,app
T0014,"Last bill me extra ₹2,050 kyun add kiya, samjhao.",Billing & Payments,P3,hinglish,email
T0015,हेल्प सेंटर में हिंदी लेख जोड़िए। कृपया जल्दी जवाब दें।,Feedback / General,P3,hi,whatsapp
T0016,Just saying thanks to the support agent who helped yesterday. Ticket for order follow-up.,Feedback / General,P4,en,email
T0017,A user threatened me in chat and shared my address. Unsafe.,Abuse / Safety / Fraud,P1,en,whatsapp
T0018,"लॉगिन नहीं हो रहा, OTP नहीं आ रहा है।",Account / KYC / Login,P2,hi,app
T0019,Could you add Hindi language to the help centre articles? Ticket for order follow-up.,Feedback / General,P3,en,whatsapp
T0020,Order 18326 is 4 days late. Tracking has not moved.,Product / Order / Delivery,P2,en,whatsapp
T0021,पेमेंट स्क्रीन पर ऐप हैंग हो जाती है। यह बहुत जरूरी है।,Technical / App crash,P2,hi,web
T0022,I want to report spam messages in the in-app inbox. Need update today.,Abuse / Safety / Fraud,P3,en,email
T0023,Checkout page spins forever on Android 14. Order cannot be placed. Ticket for order follow-up.,Technical / App crash,P2,en,app
